productid,productname,category,brand,transactions,total_revenue,total_margin,margin_pct
PR0153,ZenHealth Probiotic Daily,Wellness,ZenHealth,290,29797.4,11569.87,38.8
PR0004,DermaSoft Shampoo Repair,Personal Care,DermaSoft,239,31711.85,12217.6,38.5
PR0167,DermaSoft Sunscreen Bright,Personal Care,DermaSoft,174,13665.73,5242.33,38.4
PR0147,NatureFit Omega-3 Max,Wellness,NatureFit,334,39147.08,14964.31,38.2
PR0212,FreshLine Mouthwash Sensitive,Personal Care,FreshLine,250,5196.86,1984.07,38.2
PR0205,BioBalance Multivitamin Active,Wellness,BioBalance,344,52851.84,20018.12,37.9
PR0090,CleanWave Shampoo Bright,Personal Care,CleanWave,285,34140.39,12911.69,37.8
PR0110,ZenHealth Collagen Daily,Wellness,ZenHealth,150,22993.38,8698.75,37.8
PR0114,NatureFit Omega-3 Plus,Wellness,NatureFit,347,58768.35,22236.55,37.8
PR0140,FreshLine Shampoo Bright,Personal Care,FreshLine,269,56692.89,21384.65,37.7
